Date,Risk Country,Exchange Country,Sector,Risk Issuer,Description,Instrument Id,BBG ticker,BB ticker (Underlying),Instrument Type,PB account,Strategy,$ Daily P&L,$ MTD P&L,FX Rate (PBD),SOD Quantity,Quantity,Delta Shares,$ Delta,$ Delta (PBD),Gross Delta Adjusted MV,$ NMV,$ NMV (PBD),Native Currency,Avg Entry Price,Market Price,USD Price,Pricing Factor,Contract Multiplier,Option Type,Maturity Date,Option Strike,Underlying Market Price,$ Underlying Market Price,Instrument Delta,Model Volatility,Credit Spread,$ Gamma,$ Theta,$ Vega,Book DV01,90d Realized Vol,60d Avg Volm (Underlying),Market Cap Bucket,First Trade Date,Last Trade Date,Inactive Date,PantareiRelativeIndex,PantareiRelativeIndexBeta,Illogical Condition,$ Net Traded Tdy
9/26/2024,Australia,Australia,Industrials,"ALS ",ALS ORD,1222610,ALQ AU Equity,ALQ AU Equity,Equity,UBS Cash,SDD,16953.85180700,-3501.67833867,1.46563095,67157.00000000,67157.00000000,67157.00000000,650292.98347500,629125.36570300,650292.98347500,650292.98347500,629125.36570300,AUD,14.35274841,14.10000000,9.68317500,,1.00000000,,,,14.10000000,9.68317500,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.27087873,1255942.61666667,$3b - $5b,5/27/2024,9/19/2024,,AS51,1.09769428,1.00000000,0.00000000
9/26/2024,Australia,Australia,Materials,"Adriatic Metals ",ADRIATIC METALS CDI,75397292,ADT AU Equity,ADT1 LN Equity,Equity,UBS Cash,SECONDARY,,,,0.00000000,0.00000000,0.00000000,,,,,,AUD,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$0.5b - $1b,5/23/2024,7/18/2024,7/22/2024,EuroStoxx 50,,1.00000000,0.00000000
9/26/2024,Australia,Australia,Materials,"Adriatic Metals ",ADRIATIC METALS PVT PL ORD,75482646,ADTXX AU Equity,ADTXX AU Equity,Equity,BAML Cash,SECONDARY,,,,0.00000000,0.00000000,0.00000000,,,,,,AUD,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,N/A,5/29/2024,6/4/2024,6/4/2024,EuroStoxx 50,,,0.00000000
9/26/2024,Australia,Australia,Materials,"Adriatic Metals ",ADRIATIC METALS CDI,75397292,ADT AU Equity,ADT1 LN Equity,Equity,BAML Cash,SECONDARY,737.57994600,33928.67751600,1.46563095,108102.00000000,108102.00000000,102991.54279035,256867.10781000,254465.08137000,256867.10781000,256867.10781000,254465.08137000,AUD,3.88247633,3.46000000,2.37615500,,1.00000000,,,,186.80000000,2.49406020,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.42547837,913459.33333333,$0.5b - $1b,5/23/2024,8/8/2024,,EuroStoxx 50,1.16665862,,0.00000000
9/26/2024,Australia,United Kingdom,Materials,"Adriatic Metals ",ADRIATIC METALS ORD,100583976,ADT1 LN Equity,ADT1 LN Equity,Equity,BAML Cash,SECONDARY,,,,0.00000000,0.00000000,0.00000000,,,,,,GBp,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$0.5b - $1b,5/29/2024,8/7/2024,8/9/2024,EuroStoxx 50,,,0.00000000
9/26/2024,Australia,Australia,Consumer Discretionary,"Aristocrat Leisure ",ARISTOCRAT LEISURE ORD,1222951,ALL AU Equity,ALL AU Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,AUD,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,7/10/2024,8/23/2024,8/27/2024,AS51,,1.00000000,0.00000000
9/26/2024,Australia,Australia,Industrials,"Atlas Arteria ",ATLAS ARTERIA STAPLED UNT,12198100,ALX AU Equity,ALX AU Equity,Equity,UBS Cash,SDD,57044.68595225,-28276.21171149,1.46563095,569975.00000000,319975.00000000,319975.00000000,1070147.58818750,1835579.40860000,1070147.58818750,1070147.58818750,1835579.40860000,AUD,4.95995500,4.87000000,3.34447250,,1.00000000,,,,4.87000000,3.34447250,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.23566925,2551777.70000000,$3b - $5b,9/17/2024,9/26/2024,,AS51,0.78818561,1.00000000,829659.74250000
9/26/2024,Australia,Australia,Financials,"Bendigo and Adelaide Bank ",BENDIGO AND ADELAIDE BANK ORD,1222746,BEN AU Equity,BEN AU Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,AUD,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$3b - $5b,6/21/2024,6/25/2024,6/27/2024,AS51,,1.00000000,0.00000000
9/26/2024,Australia,Australia,Health Care,"CSL ",CSL ORD,1225143,CSL AU Equity,CSL AU Equity,Equity,UBS Cash,SDD,0.00000000,3309.94720103,1.46563095,0.00000000,0.00000000,0.00000000,,0.00000000,,,0.00000000,AUD,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,9/23/2024,9/24/2024,9/26/2024,AS51,,1.00000000,0.00000000
9/26/2024,Australia,Australia,Financials,"Challenger ",CHALLENGER ORD,1222651,CGF AU Equity,CGF AU Equity,Equity,UBS Cash,SECONDARY,8491.03082964,10105.73258007,1.46563095,160149.00000000,63854.00000000,63854.00000000,290298.48239000,712438.20080400,290298.48239000,290298.48239000,712438.20080400,AUD,6.47838369,6.62000000,4.54628500,,1.00000000,,,,6.62000000,4.54628500,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.29510232,2796182.15000000,$3b - $5b,9/5/2024,9/26/2024,,AS51,1.07998349,,432641.61671465
